País,Año,Horas,Metrica,Porcentaje_x,Red,Porcentaje_y
Argentina,2013.0,2.49,Motivar compras a través de 'Me gusta',25.0,WhatsApp,90.0
Argentina,2013.0,2.49,Motivar compras a través del botón 'Comprar',10.0,Facebook,89.0
Argentina,2013.0,2.49,Motivar compras a través del botón 'Comprar',10.0,FB Messenger,61.0
Argentina,2013.0,2.49,Motivar compras a través del botón 'Comprar',10.0,Instagram,71.0
Argentina,2013.0,2.49,Motivar compras a través del botón 'Comprar',10.0,Snapchat,20.0
Argentina,2013.0,2.49,Motivar compras a través del botón 'Comprar',10.0,Twitter,47.0
Argentina,2013.0,2.49,Motivar compras a través del botón 'Comprar',10.0,WhatsApp,90.0
Argentina,2014.0,2.5,Uso de redes sociales para mantenerse informado,49.0,Facebook,89.0
Argentina,2014.0,2.5,Uso de redes sociales para mantenerse informado,49.0,FB Messenger,61.0
Argentina,2014.0,2.5,Uso de redes sociales para mantenerse informado,49.0,Instagram,71.0
Argentina,2014.0,2.5,Uso de redes sociales para mantenerse informado,49.0,Snapchat,20.0
Argentina,2014.0,2.5,Uso de redes sociales para mantenerse informado,49.0,Twitter,47.0
Argentina,2014.0,2.5,Uso de redes sociales para mantenerse informado,49.0,WhatsApp,90.0
Argentina,2014.0,2.5,Seguir marcas que les gustan,45.0,Facebook,89.0
Argentina,2014.0,2.5,Seguir marcas que les gustan,45.0,FB Messenger,61.0
Argentina,2014.0,2.5,Seguir marcas que les gustan,45.0,Instagram,71.0
Argentina,2014.0,2.5,Seguir marcas que les gustan,45.0,Snapchat,20.0
Argentina,2014.0,2.5,Seguir marcas que les gustan,45.0,Twitter,47.0
Argentina,2014.0,2.5,Seguir marcas que les gustan,45.0,WhatsApp,90.0
Argentina,2014.0,2.5,Descubrir marcas a través de comentarios,38.0,Facebook,89.0
Argentina,2014.0,2.5,Descubrir marcas a través de comentarios,38.0,FB Messenger,61.0
Argentina,2014.0,2.5,Descubrir marcas a través de comentarios,38.0,Instagram,71.0
Argentina,2014.0,2.5,Descubrir marcas a través de comentarios,38.0,Snapchat,20.0
Argentina,2014.0,2.5,Descubrir marcas a través de comentarios,38.0,Twitter,47.0
Argentina,2014.0,2.5,Descubrir marcas a través de comentarios,38.0,WhatsApp,90.0
Argentina,2014.0,2.5,Investigar productos/marcas usando redes sociales,61.0,Facebook,89.0
Argentina,2014.0,2.5,Investigar productos/marcas usando redes sociales,61.0,FB Messenger,61.0
Argentina,2014.0,2.5,Investigar productos/marcas usando redes sociales,61.0,Instagram,71.0
Argentina,2014.0,2.5,Investigar productos/marcas usando redes sociales,61.0,Snapchat,20.0
Argentina,2014.0,2.5,Investigar productos/marcas usando redes sociales,61.0,Twitter,47.0
Argentina,2014.0,2.5,Investigar productos/marcas usando redes sociales,61.0,WhatsApp,90.0
Argentina,2014.0,2.5,Motivar compras a través de 'Me gusta',25.0,Facebook,89.0
Argentina,2014.0,2.5,Motivar compras a través de 'Me gusta',25.0,FB Messenger,61.0
Argentina,2014.0,2.5,Motivar compras a través de 'Me gusta',25.0,Instagram,71.0
Argentina,2014.0,2.5,Motivar compras a través de 'Me gusta',25.0,Snapchat,20.0
Argentina,2014.0,2.5,Motivar compras a través de 'Me gusta',25.0,Twitter,47.0
Argentina,2014.0,2.5,Motivar compras a través de 'Me gusta',25.0,WhatsApp,90.0
Argentina,2014.0,2.5,Motivar compras a través del botón 'Comprar',10.0,Facebook,89.0
Argentina,2014.0,2.5,Motivar compras a través del botón 'Comprar',10.0,FB Messenger,61.0
Argentina,2014.0,2.5,Motivar compras a través del botón 'Comprar',10.0,Instagram,71.0
Argentina,2014.0,2.5,Motivar compras a través del botón 'Comprar',10.0,Snapchat,20.0
Argentina,2014.0,2.5,Motivar compras a través del botón 'Comprar',10.0,Twitter,47.0
Argentina,2014.0,2.5,Motivar compras a través del botón 'Comprar',10.0,WhatsApp,90.0
Argentina,2015.0,3.13,Uso de redes sociales para mantenerse informado,49.0,Facebook,89.0
Argentina,2015.0,3.13,Uso de redes sociales para mantenerse informado,49.0,FB Messenger,61.0
Argentina,2015.0,3.13,Uso de redes sociales para mantenerse informado,49.0,Instagram,71.0
Argentina,2015.0,3.13,Uso de redes sociales para mantenerse informado,49.0,Snapchat,20.0
Argentina,2015.0,3.13,Uso de redes sociales para mantenerse informado,49.0,Twitter,47.0
Argentina,2015.0,3.13,Uso de redes sociales para mantenerse informado,49.0,WhatsApp,90.0
Argentina,2015.0,3.13,Seguir marcas que les gustan,45.0,Facebook,89.0
Argentina,2015.0,3.13,Seguir marcas que les gustan,45.0,FB Messenger,61.0
Argentina,2015.0,3.13,Seguir marcas que les gustan,45.0,Instagram,71.0
Argentina,2015.0,3.13,Seguir marcas que les gustan,45.0,Snapchat,20.0
Argentina,2015.0,3.13,Seguir marcas que les gustan,45.0,Twitter,47.0
Argentina,2015.0,3.13,Seguir marcas que les gustan,45.0,WhatsApp,90.0
Argentina,2015.0,3.13,Descubrir marcas a través de comentarios,38.0,Facebook,89.0
Argentina,2015.0,3.13,Descubrir marcas a través de comentarios,38.0,FB Messenger,61.0
Argentina,2015.0,3.13,Descubrir marcas a través de comentarios,38.0,Instagram,71.0
Argentina,2015.0,3.13,Descubrir marcas a través de comentarios,38.0,Snapchat,20.0
Argentina,2015.0,3.13,Descubrir marcas a través de comentarios,38.0,Twitter,47.0
Argentina,2015.0,3.13,Descubrir marcas a través de comentarios,38.0,WhatsApp,90.0
Argentina,2015.0,3.13,Investigar productos/marcas usando redes sociales,61.0,Facebook,89.0
Argentina,2015.0,3.13,Investigar productos/marcas usando redes sociales,61.0,FB Messenger,61.0
Argentina,2015.0,3.13,Investigar productos/marcas usando redes sociales,61.0,Instagram,71.0
Argentina,2015.0,3.13,Investigar productos/marcas usando redes sociales,61.0,Snapchat,20.0
Argentina,2015.0,3.13,Investigar productos/marcas usando redes sociales,61.0,Twitter,47.0
Argentina,2015.0,3.13,Investigar productos/marcas usando redes sociales,61.0,WhatsApp,90.0
Argentina,2015.0,3.13,Motivar compras a través de 'Me gusta',25.0,Facebook,89.0
Argentina,2015.0,3.13,Motivar compras a través de 'Me gusta',25.0,FB Messenger,61.0
Argentina,2015.0,3.13,Motivar compras a través de 'Me gusta',25.0,Instagram,71.0
Argentina,2015.0,3.13,Motivar compras a través de 'Me gusta',25.0,Snapchat,20.0
Argentina,2015.0,3.13,Motivar compras a través de 'Me gusta',25.0,Twitter,47.0
Argentina,2015.0,3.13,Motivar compras a través de 'Me gusta',25.0,WhatsApp,90.0
Argentina,2015.0,3.13,Motivar compras a través del botón 'Comprar',10.0,Facebook,89.0
Argentina,2015.0,3.13,Motivar compras a través del botón 'Comprar',10.0,FB Messenger,61.0
Argentina,2015.0,3.13,Motivar compras a través del botón 'Comprar',10.0,Instagram,71.0
Argentina,2015.0,3.13,Motivar compras a través del botón 'Comprar',10.0,Snapchat,20.0
Argentina,2015.0,3.13,Motivar compras a través del botón 'Comprar',10.0,Twitter,47.0
Argentina,2015.0,3.13,Motivar compras a través del botón 'Comprar',10.0,WhatsApp,90.0
Argentina,2016.0,3.31,Uso de redes sociales para mantenerse informado,49.0,Facebook,89.0
Argentina,2016.0,3.31,Uso de redes sociales para mantenerse informado,49.0,FB Messenger,61.0
Argentina,2016.0,3.31,Uso de redes sociales para mantenerse informado,49.0,Instagram,71.0
Argentina,2016.0,3.31,Uso de redes sociales para mantenerse informado,49.0,Snapchat,20.0
Argentina,2016.0,3.31,Uso de redes sociales para mantenerse informado,49.0,Twitter,47.0
Argentina,2016.0,3.31,Uso de redes sociales para mantenerse informado,49.0,WhatsApp,90.0
Argentina,2016.0,3.31,Seguir marcas que les gustan,45.0,Facebook,89.0
Argentina,2016.0,3.31,Seguir marcas que les gustan,45.0,FB Messenger,61.0
Argentina,2016.0,3.31,Seguir marcas que les gustan,45.0,Instagram,71.0
Argentina,2016.0,3.31,Seguir marcas que les gustan,45.0,Snapchat,20.0
Argentina,2016.0,3.31,Seguir marcas que les gustan,45.0,Twitter,47.0
Argentina,2016.0,3.31,Seguir marcas que les gustan,45.0,WhatsApp,90.0
Argentina,2016.0,3.31,Descubrir marcas a través de comentarios,38.0,Facebook,89.0
Argentina,2016.0,3.31,Descubrir marcas a través de comentarios,38.0,FB Messenger,61.0
Argentina,2016.0,3.31,Descubrir marcas a través de comentarios,38.0,Instagram,71.0
Argentina,2016.0,3.31,Descubrir marcas a través de comentarios,38.0,Snapchat,20.0
Argentina,2016.0,3.31,Descubrir marcas a través de comentarios,38.0,Twitter,47.0
Argentina,2016.0,3.31,Descubrir marcas a través de comentarios,38.0,WhatsApp,90.0
Argentina,2016.0,3.31,Investigar productos/marcas usando redes sociales,61.0,Facebook,89.0
Argentina,2016.0,3.31,Investigar productos/marcas usando redes sociales,61.0,FB Messenger,61.0
Argentina,2016.0,3.31,Investigar productos/marcas usando redes sociales,61.0,Instagram,71.0
Argentina,2016.0,3.31,Investigar productos/marcas usando redes sociales,61.0,Snapchat,20.0
Argentina,2016.0,3.31,Investigar productos/marcas usando redes sociales,61.0,Twitter,47.0
Argentina,2016.0,3.31,Investigar productos/marcas usando redes sociales,61.0,WhatsApp,90.0
Argentina,2016.0,3.31,Motivar compras a través de 'Me gusta',25.0,Facebook,89.0
Argentina,2016.0,3.31,Motivar compras a través de 'Me gusta',25.0,FB Messenger,61.0
Argentina,2016.0,3.31,Motivar compras a través de 'Me gusta',25.0,Instagram,71.0
Argentina,2016.0,3.31,Motivar compras a través de 'Me gusta',25.0,Snapchat,20.0
Argentina,2016.0,3.31,Motivar compras a través de 'Me gusta',25.0,Twitter,47.0
Argentina,2016.0,3.31,Motivar compras a través de 'Me gusta',25.0,WhatsApp,90.0
Argentina,2016.0,3.31,Motivar compras a través del botón 'Comprar',10.0,Facebook,89.0
Argentina,2016.0,3.31,Motivar compras a través del botón 'Comprar',10.0,FB Messenger,61.0
Argentina,2016.0,3.31,Motivar compras a través del botón 'Comprar',10.0,Instagram,71.0
Argentina,2016.0,3.31,Motivar compras a través del botón 'Comprar',10.0,Snapchat,20.0
Argentina,2016.0,3.31,Motivar compras a través del botón 'Comprar',10.0,Twitter,47.0
Argentina,2016.0,3.31,Motivar compras a través del botón 'Comprar',10.0,WhatsApp,90.0
Argentina,2017.0,3.12,Uso de redes sociales para mantenerse informado,49.0,Facebook,89.0
Argentina,2017.0,3.12,Uso de redes sociales para mantenerse informado,49.0,FB Messenger,61.0
Argentina,2017.0,3.12,Uso de redes sociales para mantenerse informado,49.0,Instagram,71.0
Argentina,2017.0,3.12,Uso de redes sociales para mantenerse informado,49.0,Snapchat,20.0
Argentina,2017.0,3.12,Uso de redes sociales para mantenerse informado,49.0,Twitter,47.0
Argentina,2017.0,3.12,Uso de redes sociales para mantenerse informado,49.0,WhatsApp,90.0
Argentina,2017.0,3.12,Seguir marcas que les gustan,45.0,Facebook,89.0
Argentina,2017.0,3.12,Seguir marcas que les gustan,45.0,FB Messenger,61.0
Argentina,2017.0,3.12,Seguir marcas que les gustan,45.0,Instagram,71.0
Argentina,2017.0,3.12,Seguir marcas que les gustan,45.0,Snapchat,20.0
Argentina,2017.0,3.12,Seguir marcas que les gustan,45.0,Twitter,47.0
Argentina,2017.0,3.12,Seguir marcas que les gustan,45.0,WhatsApp,90.0
Argentina,2017.0,3.12,Descubrir marcas a través de comentarios,38.0,Facebook,89.0
Argentina,2017.0,3.12,Descubrir marcas a través de comentarios,38.0,FB Messenger,61.0
Argentina,2017.0,3.12,Descubrir marcas a través de comentarios,38.0,Instagram,71.0
Argentina,2017.0,3.12,Descubrir marcas a través de comentarios,38.0,Snapchat,20.0
Argentina,2017.0,3.12,Descubrir marcas a través de comentarios,38.0,Twitter,47.0
Argentina,2017.0,3.12,Descubrir marcas a través de comentarios,38.0,WhatsApp,90.0
Argentina,2017.0,3.12,Investigar productos/marcas usando redes sociales,61.0,Facebook,89.0
Argentina,2017.0,3.12,Investigar productos/marcas usando redes sociales,61.0,FB Messenger,61.0
Argentina,2017.0,3.12,Investigar productos/marcas usando redes sociales,61.0,Instagram,71.0
Argentina,2017.0,3.12,Investigar productos/marcas usando redes sociales,61.0,Snapchat,20.0
Argentina,2017.0,3.12,Investigar productos/marcas usando redes sociales,61.0,Twitter,47.0
Argentina,2017.0,3.12,Investigar productos/marcas usando redes sociales,61.0,WhatsApp,90.0
Argentina,2017.0,3.12,Motivar compras a través de 'Me gusta',25.0,Facebook,89.0
Argentina,2017.0,3.12,Motivar compras a través de 'Me gusta',25.0,FB Messenger,61.0
Argentina,2017.0,3.12,Motivar compras a través de 'Me gusta',25.0,Instagram,71.0
Argentina,2017.0,3.12,Motivar compras a través de 'Me gusta',25.0,Snapchat,20.0
Argentina,2017.0,3.12,Motivar compras a través de 'Me gusta',25.0,Twitter,47.0
Argentina,2017.0,3.12,Motivar compras a través de 'Me gusta',25.0,WhatsApp,90.0
Argentina,2017.0,3.12,Motivar compras a través del botón 'Comprar',10.0,Facebook,89.0
Argentina,2017.0,3.12,Motivar compras a través del botón 'Comprar',10.0,FB Messenger,61.0
Argentina,2017.0,3.12,Motivar compras a través del botón 'Comprar',10.0,Instagram,71.0
Argentina,2017.0,3.12,Motivar compras a través del botón 'Comprar',10.0,Snapchat,20.0
Argentina,2017.0,3.12,Motivar compras a través del botón 'Comprar',10.0,Twitter,47.0
Argentina,2017.0,3.12,Motivar compras a través del botón 'Comprar',10.0,WhatsApp,90.0
Argentina,2018.0,3.17,Uso de redes sociales para mantenerse informado,49.0,Facebook,89.0
Argentina,2018.0,3.17,Uso de redes sociales para mantenerse informado,49.0,FB Messenger,61.0
Argentina,2018.0,3.17,Uso de redes sociales para mantenerse informado,49.0,Instagram,71.0
Argentina,2018.0,3.17,Uso de redes sociales para mantenerse informado,49.0,Snapchat,20.0
Argentina,2018.0,3.17,Uso de redes sociales para mantenerse informado,49.0,Twitter,47.0
Argentina,2018.0,3.17,Uso de redes sociales para mantenerse informado,49.0,WhatsApp,90.0
Argentina,2018.0,3.17,Seguir marcas que les gustan,45.0,Facebook,89.0
Argentina,2018.0,3.17,Seguir marcas que les gustan,45.0,FB Messenger,61.0
Argentina,2018.0,3.17,Seguir marcas que les gustan,45.0,Instagram,71.0
Argentina,2018.0,3.17,Seguir marcas que les gustan,45.0,Snapchat,20.0
Argentina,2018.0,3.17,Seguir marcas que les gustan,45.0,Twitter,47.0
Argentina,2018.0,3.17,Seguir marcas que les gustan,45.0,WhatsApp,90.0
Argentina,2018.0,3.17,Descubrir marcas a través de comentarios,38.0,Facebook,89.0
Argentina,2018.0,3.17,Descubrir marcas a través de comentarios,38.0,FB Messenger,61.0
Argentina,2018.0,3.17,Descubrir marcas a través de comentarios,38.0,Instagram,71.0
Argentina,2018.0,3.17,Descubrir marcas a través de comentarios,38.0,Snapchat,20.0
Argentina,2018.0,3.17,Descubrir marcas a través de comentarios,38.0,Twitter,47.0
Argentina,2018.0,3.17,Descubrir marcas a través de comentarios,38.0,WhatsApp,90.0
Argentina,2018.0,3.17,Investigar productos/marcas usando redes sociales,61.0,Facebook,89.0
Argentina,2018.0,3.17,Investigar productos/marcas usando redes sociales,61.0,FB Messenger,61.0
Argentina,2018.0,3.17,Investigar productos/marcas usando redes sociales,61.0,Instagram,71.0
Argentina,2018.0,3.17,Investigar productos/marcas usando redes sociales,61.0,Snapchat,20.0
Argentina,2018.0,3.17,Investigar productos/marcas usando redes sociales,61.0,Twitter,47.0
Argentina,2018.0,3.17,Investigar productos/marcas usando redes sociales,61.0,WhatsApp,90.0
Argentina,2018.0,3.17,Motivar compras a través de 'Me gusta',25.0,Facebook,89.0
Argentina,2018.0,3.17,Motivar compras a través de 'Me gusta',25.0,FB Messenger,61.0
Argentina,2018.0,3.17,Motivar compras a través de 'Me gusta',25.0,Instagram,71.0
Argentina,2018.0,3.17,Motivar compras a través de 'Me gusta',25.0,Snapchat,20.0
Argentina,2018.0,3.17,Motivar compras a través de 'Me gusta',25.0,Twitter,47.0
Argentina,2018.0,3.17,Motivar compras a través de 'Me gusta',25.0,WhatsApp,90.0
Argentina,2018.0,3.17,Motivar compras a través del botón 'Comprar',10.0,Facebook,89.0
